,NAME,ROUNDS,DRIVE_DISTANCE,PAR OR BETTER,MISSED GIR,US_OPEN_TOP_10,TOP 10,1ST,SCORING1,SCORING2,SCORING3,SCORING4,SCORING5,FWY_%1,FWY_%2,FWY_%3,FWY_%4,FWY_%5,GIR_%1,GIR_%2,GIR_%3,GIR_%4,GIR_%5,SG_P1,SG_P2,SG_P3,SG_P4,SG_P5,SG_TTG1,SG_TTG2,SG_TTG3,SG_TTG4,SG_TTG5,SG_T1,SG_T2,SG_T3,SG_T4,SG_T5,SCRAMBLING_P1,SCRAMBLING_P2,SCRAMBLING_P3,SCRAMBLING_P4,SCRAMBLING_P5
119,Jonas Blixt,235,868.5,895,1496,4,4,1.0,71.19,71.283,70.875,,,57.79,60.1,64.31,,,60.96,61.51,65.13,,,0.527,0.536,0.13,,,-0.613,-0.877,-0.008,,,-0.086,-0.341,0.122,,,61.05,58.56,59.75,,
120,Jonathan Byrd,55,281.6,197,307,1,1,0.0,71.49,,,,,58.25,,,,,65.19,,,,,-0.412,,,,,-0.349,,,,,-0.762,,,,,64.17,,,,
121,Jonathan Randolph,139,577.0999999999999,516,884,2,2,0.0,71.642,71.945,,,,64.25,62.18,,,,62.87,60.43,,,,-0.076,0.115,,,,-0.34,-0.992,,,,-0.416,-0.877,,,,56.77,59.83,,,
122,Jordan Spieth,328,1186.0,1156,1853,18,29,5.0,69.52,68.846,69.904,70.453,,58.14,60.0,61.55,53.12,,63.52,70.01,70.47,62.8,,0.758,0.278,-0.034,0.862,,0.811,1.646,0.863,-0.403,,1.569,1.924,0.83,0.459,,63.93,61.76,61.63,62.0,
123,Julián Etulain,68,293.5,221,377,1,1,0.0,71.338,,,,,63.34,,,,,66.75,,,,,0.078,,,,,-0.385,,,,,-0.307,,,,,58.62,,,,
124,Justin Rose,267,1211.5,894,1476,22,31,3.0,70.148,69.699,68.993,69.825,,57.9,58.32,66.02,60.14,,67.92,68.06,69.95,64.78,,-0.197,-0.063,0.424,0.504,,1.325,1.295,1.527,0.739,,1.128,1.232,1.952,1.243,,58.1,58.97,63.03,62.09,
125,Justin Thomas,438,1528.9,1434,2389,24,43,11.0,70.571,69.359,69.118,69.466,69.773,53.94,55.05,58.41,59.98,55.72,65.63,67.16,68.77,70.68,67.79,-0.185,0.332,0.272,-0.186,0.026,0.506,1.479,1.563,1.817,1.418,0.32,1.811,1.835,1.631,1.444,55.56,60.39,62.47,61.32,61.81
126,K.H. Lee,92,286.2,282,489,2,2,0.0,71.307,,,,,66.01,,,,,67.66,,,,,-0.096,,,,,-0.011,,,,,-0.107,,,,,57.67,,,,
127,K.J. Choi,73,275.3,280,455,2,2,0.0,71.093,,,,,66.18,,,,,65.37,,,,,0.349,,,,,-0.145,,,,,0.204,,,,,61.54,,,,
128,Keegan Bradley,373,1197.9,1153,2006,10,15,1.0,70.741,70.437,70.303,70.849,,64.57,66.78,67.9,66.35,,69.58,68.63,69.18,68.5,,-0.631,-0.216,-0.358,-0.516,,0.929,0.769,1.151,0.663,,0.298,0.553,0.793,0.147,,54.57,59.03,56.78,59.14,
129,Keith Mitchell,185,615.8,581,1022,6,7,1.0,70.92,71.021,,,,58.59,60.38,,,,69.42,67.34,,,,-0.504,-0.338,,,,0.486,0.592,,,,-0.018,0.254,,,,56.55,57.17,,,
130,Kelly Kraft,256,870.7,915,1618,6,9,0.0,71.491,71.333,71.529,,,60.06,65.84,61.65,,,63.15,63.83,62.41,,,-0.157,0.075,0.054,,,-0.524,-0.395,-0.769,,,-0.681,-0.32,-0.715,,,53.5,58.93,56.57,,
131,Ken Duke,58,280.2,208,396,2,2,0.0,71.88,,,,,64.18,,,,,59.26,,,,,-0.524,,,,,-0.21,,,,,-0.734,,,,,52.53,,,,
132,Kevin Chappell,265,909.9,904,1572,11,17,1.0,70.501,70.779,70.839,,,60.68,58.78,61.27,,,66.37,65.25,66.52,,,-0.307,-0.303,-0.344,,,1.077,0.841,0.668,,,0.77,0.538,0.323,,,59.15,56.84,56.28,,
133,Kevin Kisner,388,1155.6999999999998,1308,2179,17,23,3.0,70.489,70.294,70.729,70.416,,64.92,67.76,66.33,69.39,,65.19,66.38,65.38,66.99,,0.672,0.388,0.513,0.45,,-0.124,0.656,-0.476,0.221,,0.548,1.043,0.037,0.671,,56.88,62.06,60.29,61.06,
134,Kevin Na,338,1142.5,1211,1997,15,20,2.0,70.298,70.399,70.288,71.144,,65.3,61.26,64.13,64.05,,66.73,65.51,64.66,64.44,,0.074,0.265,0.533,0.089,,0.553,0.513,0.268,-0.002,,0.627,0.778,0.801,0.087,,58.53,61.1,63.62,58.85,
135,Kevin Streelman,451,1465.6,1413,2427,12,17,0.0,71.054,70.873,70.436,70.763,70.341,64.37,66.01,69.11,67.99,66.32,69.17,66.67,71.56,69.75,69.21,-0.326,-0.281,-0.25,-0.251,-0.008,0.45,0.45,0.868,0.919,0.681,0.124,0.169,0.619,0.669,0.673,52.97,60.04,60.93,59.86,57.14
136,Kevin Tway,290,923.0999999999999,972,1654,6,8,1.0,70.868,70.8,71.02,,,52.48,52.61,55.26,,,64.71,66.88,67.01,,,0.261,0.052,-0.131,,,0.172,0.277,0.274,,,0.433,0.329,0.143,,,59.03,56.77,61.05,,
137,Kiradech Aphibarnrat,116,587.0999999999999,448,741,5,5,0.0,70.629,70.911,,,,65.12,63.25,,,,62.2,61.65,,,,0.138,0.337,,,,0.373,-0.254,,,,0.511,0.083,,,,55.59,64.02,,,
138,Kramer Hickok,79,291.0,275,456,1,1,0.0,71.243,,,,,69.25,,,,,67.1,,,,,-0.604,,,,,0.317,,,,,-0.287,,,,,60.31,,,,
139,Kris Ventura,78,304.7,253,479,1,2,0.0,72.182,,,,,57.6,,,,,61.98,,,,,0.435,,,,,-1.373,,,,,-0.938,,,,,52.82,,,,
140,Kyle Reifers,115,287.3,362,647,4,5,0.0,70.965,,,,,65.29,,,,,67.62,,,,,0.12,,,,,0.057,,,,,0.177,,,,,55.95,,,,
141,Kyle Stanley,278,881.1,823,1436,9,11,1.0,69.989,70.404,71.094,,,68.55,71.29,69.08,,,70.39,71.09,67.47,,,-0.309,0.037,-0.297,,,1.259,0.649,0.285,,,0.951,0.686,-0.013,,,58.35,54.8,58.65,,
142,Louis Oosthuizen,346,1484.1999999999998,1139,1855,12,23,0.0,70.327,70.22,70.157,70.259,69.714,61.67,61.29,64.81,66.93,63.47,68.15,65.23,65.74,66.84,67.64,-0.021,0.53,-0.026,0.169,0.764,0.857,0.705,0.548,0.608,0.835,0.836,1.234,0.521,0.777,1.599,54.21,63.14,64.26,60.47,63.81
143,Lucas Glover,327,1190.7000000000003,1062,1747,11,14,0.0,70.534,70.139,71.066,70.083,,64.37,65.37,65.06,66.14,,71.63,69.94,67.12,68.15,,-0.192,-0.026,-0.186,0.164,,0.764,0.944,0.462,0.812,,0.572,0.918,0.276,0.976,,57.18,60.16,59.83,64.73,
144,Luke Donald,131,561.4,528,845,2,3,0.0,70.918,70.831,,,,56.69,56.5,,,,64.61,61.92,,,,0.148,0.704,,,,0.23,-0.657,,,,0.378,0.047,,,,64.15,59.88,,,
