,NAME,SCORING,ROUNDS,TOTAL STROKES,DRIVE_DISTANCE,TOTAL DISTANCE,TOTAL DRIVES,FWY_%,FAIRWAYS HIT,POSSIBLE FAIRWAYS,GIR_%,GREENS HIT,# HOLES,RELATIVE/PAR,SG_P,TOTAL SG:PUTTING,SG_TTG,SG:OTT,SG:APR,SG:ARG,SG_T,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,SCRAMBLING_P,PAR OR BETTER,MISSED GIR,TOP 10_x,POINTS,EVENTS,# OF WINS,# OF TOP-10S,POINTS BEHIND LEAD,RESET POINTS,TOP 10_y,1ST,2ND,3RD,Year
12,Tyrrell Hatton,"2,675",46,"2,675","22,716","22,716",76,291,291,526,428,428,684,-0.34,29.730,29.730,-.036,-.036,.329,.210,44.850,44.850,15.119,29.730,144,144,256,3,564,12,0,2,"2,278",,,,1,,2017
13,Keegan Bradley,"3,771",61,"3,771","30,764","30,764",100,442,442,750,634,634,972,-0.31,1.609,1.609,.519,.519,.463,.225,54.752,54.752,53.144,1.609,205,205,338,3,761,17,0,5,"2,081",,,,1,,2017
14,Aaron Wise,"3,895",56,"3,895","34,376","34,376",112,460,460,774,698,698,"1,008",-0.31,-4.644,-4.644,.365,.365,.510,.146,47.451,47.451,52.095,-4.644,193,193,310,1,529,16,0,3,"2,313",,,,,,2017
15,Chris Kirk,"3,768",58,"3,768","30,051","30,051",100,487,487,749,650,650,972,-0.30,-5.267,-5.267,.453,.453,.463,.512,53.311,53.311,58.579,-5.267,205,205,322,3,499,17,0,3,"2,343",,,,,,2017
16,Brian Harman,"3,846",58,"3,846","31,744","31,744",110,524,524,761,660,660,990,-0.28,13.436,13.436,.167,.167,.044,.073,26.549,26.549,13.112,13.436,209,209,330,6,451,17,0,3,"2,391",,,,,1,2017
17,Marc Leishman,"3,621",59,"3,621","31,809","31,809",104,421,421,728,634,634,936,-0.33,27.517,27.517,.053,.053,.362,.026,48.275,48.275,20.757,27.517,193,193,302,3,601,16,0,3,"2,241",,,,,1,2017
18,Alex Noren,"3,545",56,"3,545","28,221","28,221",94,412,412,706,615,615,918,-0.30,19.740,19.740,.024,.024,.299,.066,34.910,34.910,15.172,19.740,200,200,303,2,492,16,0,2,"2,350",,,,,,2017
19,Jhonattan Vegas,"3,986",57,"3,986","33,720","33,720",106,444,444,786,704,704,"1,026",-0.31,-2.436,-2.436,.422,.422,.386,-.145,26.113,26.113,28.550,-2.436,185,185,322,2,379,16,0,1,"2,463",,,,,,2017
20,Luke List,"4,070",61,"4,070","34,063","34,063",108,448,448,804,726,726,"1,044",-0.27,-36.156,-36.156,.757,.757,.556,.172,32.178,32.178,68.332,-36.156,188,188,318,3,861,20,1,3,"1,981",,1,1,,,2017
21,Louis Oosthuizen,"2,099",33,"2,099","17,950","17,950",60,281,281,416,358,358,540,-0.30,-.589,-.589,.438,.438,-.133,.364,18.835,18.835,19.424,-.589,109,109,182,2,175,10,0,,"2,667",,,,,,2017
